h=357,cw=187,jw=129,fw=276,Rotio_cw:jw=1.44961,Rotio_fw:jw=2.13953;
h=311,cw=212,jw=144,fw=249,Rotio_cw:jw=1.47222,Rotio_fw:jw=1.72917;
h=373,cw=220,jw=162,fw=267,Rotio_cw:jw=1.35802,Rotio_fw:jw=1.64815;
h=396,cw=224,jw=171,fw=265,Rotio_cw:jw=1.30994,Rotio_fw:jw=1.54971;
h=372,cw=214,jw=158,fw=261,Rotio_cw:jw=1.35443,Rotio_fw:jw=1.6519;
h=384,cw=233,jw=167,fw=285,Rotio_cw:jw=1.39521,Rotio_fw:jw=1.70659;
h=425,cw=248,jw=177,fw=285,Rotio_cw:jw=1.40113,Rotio_fw:jw=1.61017;
h=418,cw=201,jw=157,fw=218,Rotio_cw:jw=1.28025,Rotio_fw:jw=1.38854;
h=364,cw=263,jw=181,fw=297,Rotio_cw:jw=1.45304,Rotio_fw:jw=1.64088;
h=353,cw=200,jw=142,fw=257,Rotio_cw:jw=1.40845,Rotio_fw:jw=1.80986;
h=401,cw=229,jw=159,fw=289,Rotio_cw:jw=1.44025,Rotio_fw:jw=1.81761;
h=393,cw=250,jw=164,fw=293,Rotio_cw:jw=1.52439,Rotio_fw:jw=1.78659;
h=388,cw=255,jw=165,fw=309,Rotio_cw:jw=1.54545,Rotio_fw:jw=1.87273;
h=379,cw=220,jw=155,fw=293,Rotio_cw:jw=1.41935,Rotio_fw:jw=1.89032;
h=387,cw=215,jw=153,fw=289,Rotio_cw:jw=1.40523,Rotio_fw:jw=1.88889;
h=322,cw=206,jw=148,fw=245,Rotio_cw:jw=1.39189,Rotio_fw:jw=1.65541;
h=276,cw=168,jw=124,fw=205,Rotio_cw:jw=1.35484,Rotio_fw:jw=1.65323;
h=408,cw=242,jw=187,fw=277,Rotio_cw:jw=1.29412,Rotio_fw:jw=1.48128;
h=290,cw=161,jw=116,fw=205,Rotio_cw:jw=1.38793,Rotio_fw:jw=1.76724;
h=363,cw=235,jw=161,fw=273,Rotio_cw:jw=1.45963,Rotio_fw:jw=1.69565;
h=353,cw=223,jw=157,fw=245,Rotio_cw:jw=1.42038,Rotio_fw:jw=1.56051;
h=365,cw=239,jw=164,fw=267,Rotio_cw:jw=1.45732,Rotio_fw:jw=1.62805;
h=370,cw=243,jw=164,fw=277,Rotio_cw:jw=1.48171,Rotio_fw:jw=1.68902;
h=392,cw=250,jw=181,fw=273,Rotio_cw:jw=1.38122,Rotio_fw:jw=1.50829;
h=375,cw=247,jw=172,fw=260,Rotio_cw:jw=1.43605,Rotio_fw:jw=1.51163;
h=388,cw=207,jw=156,fw=269,Rotio_cw:jw=1.32692,Rotio_fw:jw=1.72436;
h=433,cw=215,jw=169,fw=265,Rotio_cw:jw=1.27219,Rotio_fw:jw=1.56805;
h=374,cw=253,jw=173,fw=265,Rotio_cw:jw=1.46243,Rotio_fw:jw=1.53179;
h=308,cw=173,jw=130,fw=209,Rotio_cw:jw=1.33077,Rotio_fw:jw=1.60769;
h=279,cw=151,jw=110,fw=193,Rotio_cw:jw=1.37273,Rotio_fw:jw=1.75455;
h=293,cw=150,jw=111,fw=146,Rotio_cw:jw=1.35135,Rotio_fw:jw=1.31532;
h=379,cw=229,jw=166,fw=301,Rotio_cw:jw=1.37952,Rotio_fw:jw=1.81325;
h=375,cw=232,jw=146,fw=289,Rotio_cw:jw=1.58904,Rotio_fw:jw=1.97945;
h=365,cw=235,jw=175,fw=250,Rotio_cw:jw=1.34286,Rotio_fw:jw=1.42857;
h=395,cw=241,jw=162,fw=293,Rotio_cw:jw=1.48765,Rotio_fw:jw=1.80864;
h=376,cw=246,jw=173,fw=265,Rotio_cw:jw=1.42197,Rotio_fw:jw=1.53179;
h=413,cw=238,jw=174,fw=297,Rotio_cw:jw=1.36782,Rotio_fw:jw=1.7069;
h=397,cw=221,jw=163,fw=293,Rotio_cw:jw=1.35583,Rotio_fw:jw=1.79755;
h=390,cw=232,jw=171,fw=257,Rotio_cw:jw=1.35673,Rotio_fw:jw=1.50292;
h=388,cw=243,jw=160,fw=297,Rotio_cw:jw=1.51875,Rotio_fw:jw=1.85625;
h=371,cw=230,jw=166,fw=265,Rotio_cw:jw=1.38554,Rotio_fw:jw=1.59639;
h=397,cw=215,jw=160,fw=305,Rotio_cw:jw=1.34375,Rotio_fw:jw=1.90625;
h=354,cw=246,jw=169,fw=261,Rotio_cw:jw=1.45562,Rotio_fw:jw=1.54438;
h=327,cw=179,jw=138,fw=213,Rotio_cw:jw=1.2971,Rotio_fw:jw=1.54348;
h=336,cw=228,jw=158,fw=241,Rotio_cw:jw=1.44304,Rotio_fw:jw=1.52532;
h=380,cw=239,jw=163,fw=273,Rotio_cw:jw=1.46626,Rotio_fw:jw=1.67485;
h=399,cw=255,jw=173,fw=313,Rotio_cw:jw=1.47399,Rotio_fw:jw=1.80925;
h=397,cw=198,jw=150,fw=265,Rotio_cw:jw=1.32,Rotio_fw:jw=1.76667;
h=380,cw=243,jw=160,fw=289,Rotio_cw:jw=1.51875,Rotio_fw:jw=1.80625;
h=387,cw=236,jw=156,fw=289,Rotio_cw:jw=1.51282,Rotio_fw:jw=1.85256;
h=395,cw=262,jw=172,fw=321,Rotio_cw:jw=1.52326,Rotio_fw:jw=1.86628;
h=314,cw=178,jw=133,fw=221,Rotio_cw:jw=1.33835,Rotio_fw:jw=1.66165;
h=459,cw=183,jw=133,fw=213,Rotio_cw:jw=1.37594,Rotio_fw:jw=1.6015;
h=364,cw=226,jw=159,fw=249,Rotio_cw:jw=1.42138,Rotio_fw:jw=1.56604;
h=400,cw=210,jw=161,fw=257,Rotio_cw:jw=1.30435,Rotio_fw:jw=1.59627;
